Loc	Depth	Version (as of 06/16/2016)
CAF003	30	TE
CAF003	60	TE
CAF003	90	TE
CAF003	120	TE
CAF003	150	TE
CAF007	30	TE
CAF007	60	TE
CAF007	90	TE
CAF007	120	TE
CAF007	150	TE
CAF009	30	TE
CAF009	60	TE
CAF009	90	TE
CAF009	120	TE
CAF009	150	TE
CAF019	30	TE
CAF019	60	TE
CAF019	90	TE
CAF019	120	TE
CAF019	150	TE
CAF031	30	TE
CAF031	60	TE
CAF031	90	TE
CAF031	120	TE
CAF031	150	TE
CAF033	30	TE
CAF033	60	TE
CAF033	90	TE
CAF033	120	TE
CAF033	150	TE
CAF035	30	TE
CAF035	60	TE
CAF035	90	TE
CAF035	120	TE
CAF035	150	TE
CAF061	30	TE
CAF061	60	TE
CAF061	90	TE
CAF061	120	ECH2O
CAF061	150	TE
CAF067	30	TE
CAF067	60	TE
CAF067	90	TE
CAF067	120	TE
CAF067	150	TE
CAF075	30	TE
CAF075	60	TE
CAF075	90	ECH2O
CAF075	120	ECH2O
CAF075	150	TE
CAF079	30	TE
CAF079	60	TE
CAF079	90	TE
CAF079	120	TE
CAF079	150	TE
CAF095	30	TE
CAF095	60	TE
CAF095	90	TE
CAF095	120	TE
CAF095	150	TE
CAF119	30	TE
CAF119	60	ECH2O
CAF119	90	ECH2O
CAF119	120	TE
CAF119	150	TE
CAF125	30	TE
CAF125	60	TE
CAF125	90	TE
CAF125	120	TE
CAF125	150	TE
CAF129	30	TE
CAF129	60	TE
CAF129	90	TE
CAF129	120	TE
CAF129	150	TE
CAF133	30	TE
CAF133	60	TE
CAF133	90	TE
CAF133	120	TE
CAF133	150	TE
CAF135	30	TE
CAF135	60	TE
CAF135	90	TE
CAF135	120	TE
CAF135	150	TE
CAF139	30	TE
CAF139	60	TE
CAF139	90	TE
CAF139	120	TE
CAF139	150	TE
CAF141	30	TE
CAF141	60	TE
CAF141	90	TE
CAF141	120	TE
CAF141	150	TE
CAF163	30	TE
CAF163	60	TE
CAF163	90	TE
CAF163	120	TE
CAF163	150	TE
CAF173	30	TE
CAF173	60	TE
CAF173	90	TE
CAF173	120	TE
CAF173	150	TE
CAF197	30	TE
CAF197	60	TE
CAF197	90	ECH2O
CAF197	120	TE
CAF197	150	TE
CAF201	30	TE
CAF201	60	TE
CAF201	90	TE
CAF201	120	TE
CAF201	150	ECH2O
CAF205	30	TE
CAF205	60	TE
CAF205	90	TE
CAF205	120	TE
CAF205	150	TE
CAF209	30	TE
CAF209	60	TE
CAF209	90	TE
CAF209	120	TE
CAF209	150	TE
CAF215	30	TE
CAF215	60	TE
CAF215	90	TE
CAF215	120	TE
CAF215	150	TE
CAF217	30	TE
CAF217	60	TE
CAF217	90	ECH2O
CAF217	120	ECH2O
CAF217	150	ECH2O
CAF231	30	TE
CAF231	60	TE
CAF231	90	TE
CAF231	120	TE
CAF231	150	TE
CAF237	30	TE
CAF237	60	TE
CAF237	90	ECH2O
CAF237	120	ECH2O
CAF237	150	TE
CAF245	30	TE
CAF245	60	TE
CAF245	90	TE
CAF245	120	TE
CAF245	150	TE
CAF275	30	TE
CAF275	60	TE
CAF275	90	TE
CAF275	120	TE
CAF275	150	TE
CAF308	30	TE
CAF308	60	TE
CAF308	90	TE
CAF308	120	ECH2O
CAF308	150	ECH2O
CAF310	30	TE
CAF310	60	TE
CAF310	90	TE
CAF310	120	TE
CAF310	150	TE
CAF312	30	TE
CAF312	60	TE
CAF312	90	TE
CAF312	120	TE
CAF312	150	TE
CAF314	30	TE
CAF314	60	TE
CAF314	90	TE
CAF314	120	TE
CAF314	150	TE
CAF316	30	TE
CAF316	60	TE
CAF316	90	TE
CAF316	120	TE
CAF316	150	TE
CAF349	30	TE
CAF349	60	TE
CAF349	90	TE
CAF349	120	TE
CAF349	150	TE
CAF351	30	TE
CAF351	60	ECH2O
CAF351	90	ECH2O
CAF351	120	ECH2O
CAF351	150	ECH2O
CAF357	30	TE
CAF357	60	TE
CAF357	90	TE
CAF357	120	TE
CAF357	150	TE
CAF377	30	TE
CAF377	60	TE
CAF377	90	TE
CAF377	120	TE
CAF377	150	TE
CAF397	30	TE
CAF397	60	TE
CAF397	90	TE
CAF397	120	TE
CAF397	150	TE
CAF401	30	TE
CAF401	60	TE
CAF401	90	TE
CAF401	120	TE
CAF401	150	TE
