"Location"	"Date"	"T_30cm"
"CAF031"	"11/02/2015"	"D"
"CAF031"	"11/03/2015"	"D"
"CAF031"	"11/04/2015"	"D"
"CAF031"	"11/05/2015"	"D"
"CAF031"	"11/06/2015"	"D"
"CAF031"	"11/07/2015"	"D"
"CAF031"	"11/08/2015"	"D"
"CAF031"	"11/09/2015"	"D"
"CAF031"	"11/10/2015"	"D"
"CAF031"	"11/11/2015"	"D"
"CAF031"	"11/12/2015"	"D"
"CAF031"	"11/13/2015"	"D"
"CAF031"	"11/14/2015"	"D"
"CAF031"	"11/15/2015"	"D"
"CAF031"	"11/16/2015"	"D"
"CAF031"	"11/17/2015"	"D"
"CAF031"	"11/18/2015"	"D"
"CAF031"	"11/19/2015"	"D"
"CAF031"	"11/20/2015"	"D"
"CAF031"	"11/21/2015"	"D"
"CAF031"	"11/22/2015"	"D"
"CAF031"	"11/23/2015"	"D"
"CAF031"	"11/24/2015"	"D"
"CAF031"	"11/25/2015"	"D"
"CAF031"	"11/26/2015"	"D"
"CAF031"	"11/27/2015"	"D"
"CAF031"	"11/28/2015"	"D"
"CAF031"	"11/29/2015"	"D"
"CAF031"	"11/30/2015"	"D"
"CAF031"	"12/01/2015"	"D"
"CAF031"	"12/02/2015"	"D"
"CAF031"	"12/03/2015"	"D"
"CAF031"	"12/04/2015"	"D"
"CAF031"	"12/05/2015"	"D"
"CAF031"	"12/06/2015"	"D"
"CAF031"	"12/07/2015"	"D"
"CAF031"	"12/08/2015"	"D"
"CAF031"	"12/09/2015"	"D"
"CAF031"	"12/10/2015"	"D"
"CAF031"	"12/11/2015"	"D"
"CAF031"	"12/12/2015"	"D"
"CAF031"	"12/13/2015"	"D"
"CAF031"	"12/14/2015"	"D"
"CAF031"	"12/15/2015"	"D"
"CAF031"	"12/16/2015"	"D"
"CAF031"	"12/17/2015"	"D"
"CAF031"	"12/18/2015"	"D"
"CAF031"	"12/19/2015"	"D"
"CAF031"	"12/20/2015"	"D"
"CAF031"	"12/21/2015"	"D"
"CAF031"	"12/22/2015"	"D"
"CAF031"	"12/23/2015"	"D"
"CAF031"	"12/24/2015"	"D"
"CAF031"	"12/25/2015"	"D"
"CAF031"	"12/26/2015"	"D"
"CAF031"	"12/27/2015"	"D"
"CAF031"	"12/28/2015"	"D"
"CAF031"	"12/29/2015"	"D"
"CAF031"	"12/30/2015"	"D"
"CAF031"	"12/31/2015"	"D"
"CAF031"	"01/01/2016"	"D"
"CAF031"	"01/02/2016"	"D"
"CAF031"	"01/03/2016"	"D"
"CAF031"	"01/04/2016"	"D"
"CAF031"	"01/05/2016"	"D"
"CAF031"	"01/06/2016"	"D"
"CAF031"	"01/07/2016"	"D"
"CAF031"	"01/08/2016"	"D"
"CAF031"	"01/09/2016"	"D"
"CAF031"	"01/10/2016"	"D"
"CAF031"	"01/11/2016"	"D"
"CAF031"	"01/12/2016"	"D"
"CAF031"	"01/13/2016"	"D"
"CAF031"	"01/14/2016"	"D"
"CAF031"	"01/15/2016"	"D"
"CAF031"	"01/16/2016"	"D"
"CAF031"	"01/17/2016"	"D"
"CAF031"	"01/18/2016"	"D"
"CAF031"	"01/19/2016"	"D"
"CAF031"	"01/20/2016"	"D"
"CAF031"	"01/21/2016"	"D"
"CAF031"	"01/22/2016"	"D"
"CAF031"	"01/23/2016"	"D"
"CAF031"	"01/24/2016"	"D"
"CAF031"	"01/25/2016"	"D"
"CAF031"	"01/26/2016"	"D"
"CAF031"	"01/27/2016"	"D"
"CAF031"	"01/28/2016"	"D"
"CAF031"	"01/29/2016"	"D"
"CAF031"	"01/30/2016"	"D"
"CAF031"	"01/31/2016"	"D"
"CAF031"	"02/01/2016"	"D"
"CAF031"	"02/02/2016"	"D"
"CAF031"	"02/03/2016"	"D"
"CAF031"	"02/04/2016"	"D"
"CAF031"	"02/05/2016"	"D"
"CAF031"	"02/06/2016"	"D"
"CAF031"	"02/07/2016"	"D"
"CAF031"	"02/08/2016"	"D"
"CAF031"	"02/09/2016"	"D"
"CAF031"	"02/10/2016"	"D"
"CAF031"	"02/11/2016"	"D"
"CAF031"	"02/12/2016"	"D"
"CAF031"	"02/13/2016"	"D"
"CAF031"	"02/14/2016"	"D"
"CAF031"	"02/15/2016"	"D"
"CAF031"	"02/16/2016"	"D"
"CAF031"	"02/17/2016"	"D"
"CAF031"	"02/18/2016"	"D"
"CAF031"	"02/19/2016"	"D"
"CAF031"	"02/20/2016"	"D"
"CAF031"	"02/21/2016"	"D"
"CAF031"	"02/22/2016"	"D"
"CAF031"	"02/23/2016"	"D"
"CAF031"	"02/24/2016"	"D"
"CAF031"	"02/25/2016"	"D"
"CAF031"	"02/26/2016"	"D"
"CAF031"	"02/27/2016"	"D"
"CAF031"	"02/28/2016"	"D"
"CAF031"	"02/29/2016"	"D"
"CAF031"	"03/01/2016"	"D"
"CAF031"	"03/02/2016"	"D"
"CAF031"	"03/03/2016"	"D"
"CAF031"	"03/04/2016"	"D"
"CAF031"	"03/05/2016"	"D"
"CAF031"	"03/06/2016"	"D"
"CAF031"	"03/07/2016"	"D"
"CAF031"	"03/08/2016"	"D"
"CAF031"	"03/09/2016"	"D"
"CAF031"	"03/10/2016"	"D"
"CAF031"	"03/11/2016"	"D"
"CAF031"	"03/12/2016"	"D"
"CAF031"	"03/13/2016"	"D"
"CAF031"	"03/14/2016"	"D"
"CAF031"	"03/15/2016"	"D"
"CAF031"	"03/16/2016"	"D"
"CAF031"	"03/17/2016"	"D"
"CAF031"	"03/18/2016"	"D"
"CAF031"	"03/19/2016"	"D"
"CAF031"	"03/20/2016"	"D"
"CAF031"	"03/21/2016"	"D"
"CAF031"	"03/22/2016"	"D"
"CAF031"	"03/23/2016"	"D"
"CAF031"	"03/24/2016"	"D"
"CAF031"	"03/25/2016"	"D"
"CAF031"	"03/26/2016"	"D"
"CAF031"	"03/27/2016"	"D"
"CAF031"	"03/28/2016"	"D"
"CAF031"	"03/29/2016"	"D"
"CAF031"	"03/30/2016"	"D"
"CAF031"	"03/31/2016"	"D"
"CAF031"	"04/01/2016"	"D"
"CAF031"	"04/02/2016"	"D"
"CAF031"	"04/03/2016"	"D"
"CAF031"	"04/04/2016"	"D"
"CAF031"	"04/05/2016"	"D"
"CAF031"	"04/06/2016"	"D"
"CAF031"	"04/07/2016"	"D"
"CAF031"	"04/08/2016"	"D"
"CAF031"	"04/09/2016"	"D"
"CAF031"	"04/10/2016"	"D"
"CAF031"	"04/11/2016"	"D"
"CAF031"	"04/12/2016"	"D"
"CAF031"	"04/13/2016"	"D"
"CAF031"	"04/14/2016"	"D"
"CAF031"	"04/15/2016"	"D"
"CAF031"	"04/16/2016"	"D"
"CAF031"	"04/17/2016"	"D"
"CAF031"	"04/18/2016"	"D"
"CAF031"	"04/19/2016"	"D"
"CAF031"	"04/20/2016"	"D"
"CAF031"	"04/24/2016"	"D"
"CAF031"	"04/25/2016"	"D"
"CAF031"	"04/26/2016"	"D"
"CAF031"	"04/27/2016"	"D"
"CAF031"	"04/28/2016"	"D"
"CAF031"	"04/29/2016"	"D"
"CAF031"	"04/30/2016"	"D"
"CAF031"	"05/01/2016"	"D"
"CAF031"	"05/02/2016"	"D"
"CAF314"	"11/16/2014"	"D"
"CAF314"	"11/17/2014"	"D"
"CAF314"	"11/18/2014"	"D"
"CAF357"	"12/11/2009"	"D"
"CAF357"	"12/12/2009"	"D"
"CAF357"	"12/13/2009"	"D"
"CAF357"	"12/14/2009"	"D"
