"Location"	"Date"	"VW_30cm"
"CAF201"	"12/04/2007"	"C"
"CAF201"	"12/05/2007"	"C"
"CAF201"	"12/06/2007"	"C"
"CAF201"	"12/07/2007"	"C"
"CAF201"	"12/08/2007"	"C"
"CAF201"	"12/09/2007"	"C"
"CAF201"	"12/10/2007"	"C"
"CAF201"	"12/11/2007"	"C"
"CAF201"	"12/12/2007"	"C"
"CAF201"	"12/18/2007"	"C"
"CAF201"	"12/19/2007"	"C"
"CAF201"	"12/20/2007"	"C"
"CAF201"	"12/21/2007"	"C"
"CAF201"	"12/22/2007"	"C"
"CAF201"	"12/23/2007"	"C"
"CAF201"	"12/24/2007"	"C"
"CAF201"	"12/25/2007"	"C"
"CAF201"	"12/26/2007"	"C"
"CAF201"	"12/27/2007"	"C"
"CAF201"	"12/28/2007"	"C"
"CAF201"	"12/29/2007"	"C"
"CAF201"	"12/30/2007"	"C"
"CAF201"	"12/31/2007"	"C"
"CAF201"	"01/01/2008"	"C"
"CAF201"	"01/02/2008"	"C"
"CAF201"	"01/03/2008"	"C"
"CAF201"	"01/04/2008"	"C"
"CAF201"	"01/05/2008"	"C"
"CAF201"	"01/06/2008"	"C"
"CAF201"	"01/07/2008"	"C"
"CAF201"	"01/08/2008"	"C"
"CAF201"	"01/09/2008"	"C"
"CAF201"	"01/10/2008"	"C"
"CAF201"	"01/11/2008"	"C"
"CAF201"	"01/12/2008"	"C"
"CAF201"	"01/13/2008"	"C"
"CAF201"	"01/14/2008"	"C"
"CAF201"	"01/15/2008"	"C"
"CAF201"	"01/16/2008"	"C"
"CAF201"	"01/17/2008"	"C"
"CAF201"	"01/18/2008"	"C"
"CAF201"	"01/19/2008"	"C"
"CAF201"	"01/20/2008"	"C"
"CAF201"	"01/21/2008"	"C"
"CAF201"	"01/22/2008"	"C"
"CAF201"	"01/23/2008"	"C"
"CAF201"	"01/24/2008"	"C"
"CAF201"	"01/25/2008"	"C"
"CAF201"	"01/26/2008"	"C"
"CAF201"	"01/27/2008"	"C"
"CAF201"	"01/28/2008"	"C"
"CAF201"	"01/29/2008"	"C"
"CAF201"	"01/30/2008"	"C"
"CAF201"	"01/31/2008"	"C"
"CAF201"	"02/01/2008"	"C"
"CAF201"	"02/02/2008"	"C"
"CAF201"	"02/03/2008"	"C"
"CAF201"	"02/04/2008"	"C"
"CAF201"	"02/05/2008"	"C"
"CAF201"	"02/06/2008"	"C"
"CAF201"	"02/07/2008"	"C"
"CAF201"	"02/08/2008"	"C"
"CAF201"	"02/09/2008"	"C"
"CAF201"	"02/10/2008"	"C"
"CAF201"	"02/11/2008"	"C"
"CAF201"	"02/12/2008"	"C"
"CAF201"	"02/13/2008"	"C"
"CAF201"	"02/14/2008"	"C"
"CAF201"	"02/15/2008"	"C"
"CAF201"	"02/16/2008"	"C"
"CAF201"	"02/17/2008"	"C"
"CAF201"	"02/18/2008"	"C"
"CAF201"	"02/19/2008"	"C"
"CAF201"	"02/20/2008"	"C"
"CAF201"	"02/22/2008"	"C"
"CAF201"	"02/23/2008"	"C"
"CAF201"	"02/24/2008"	"C"
"CAF201"	"02/25/2008"	"C"
"CAF201"	"02/26/2008"	"C"
"CAF201"	"02/27/2008"	"C"
"CAF201"	"02/28/2008"	"C"
"CAF201"	"02/29/2008"	"C"
"CAF201"	"03/01/2008"	"C"
"CAF201"	"03/02/2008"	"C"
"CAF201"	"03/03/2008"	"C"
"CAF201"	"03/04/2008"	"C"
"CAF201"	"03/05/2008"	"C"
"CAF201"	"03/06/2008"	"C"
