"Location"	"Date"	"Time"	"VW_150cm"
"CAF007"	"07/22/2014"	"11:00"	"D"
"CAF007"	"08/28/2014"	"0:00"	"D"
"CAF007"	"08/29/2014"	"2:00"	"D"
"CAF007"	"09/19/2014"	"0:00"	"D"
"CAF007"	"10/20/2014"	"12:00"	"D"
"CAF007"	"10/21/2014"	"8:00"	"D"
"CAF007"	"10/22/2014"	"16:00"	"D"
"CAF007"	"10/27/2014"	"10:00"	"D"
"CAF007"	"11/02/2014"	"7:00"	"D"
"CAF007"	"11/03/2014"	"10:00"	"D"
"CAF007"	"11/03/2014"	"20:00"	"D"
"CAF007"	"11/04/2014"	"3:00"	"D"
"CAF007"	"11/06/2014"	"12:00"	"D"
"CAF007"	"11/09/2014"	"2:00"	"D"
"CAF007"	"11/11/2014"	"5:00"	"D"
"CAF007"	"02/23/2015"	"5:00"	"D"
"CAF007"	"04/06/2015"	"18:00"	"D"
"CAF007"	"04/10/2015"	"9:00"	"D"
"CAF007"	"04/12/2015"	"9:00"	"D"
"CAF007"	"04/15/2015"	"14:00"	"D"
"CAF007"	"04/27/2015"	"0:00"	"D"
"CAF007"	"05/11/2015"	"20:00"	"D"
"CAF007"	"05/21/2015"	"2:00"	"D"
"CAF007"	"06/30/2015"	"10:00"	"D"
"CAF007"	"07/03/2015"	"5:00"	"D"
"CAF007"	"07/15/2015"	"11:00"	"D"
"CAF007"	"07/26/2015"	"1:00"	"D"
"CAF007"	"07/29/2015"	"19:00"	"D"
"CAF007"	"08/01/2015"	"10:00"	"D"
"CAF007"	"08/07/2015"	"12:00"	"D"
"CAF007"	"08/15/2015"	"18:00"	"D"
"CAF007"	"08/24/2015"	"11:00"	"D"
"CAF007"	"08/27/2015"	"6:00"	"D"
"CAF007"	"09/29/2015"	"7:00"	"D"
"CAF007"	"02/06/2016"	"15:00"	"D"
"CAF019"	"12/23/2013"	"22:00"	"D"
"CAF019"	"02/11/2014"	"11:00"	"D"
"CAF019"	"01/05/2015"	"7:00"	"D"
"CAF031"	"03/03/2014"	"19:00"	"D"
"CAF035"	"01/16/2011"	"16:00"	"D"
"CAF035"	"01/10/2013"	"6:00"	"D"
"CAF133"	"06/26/2012"	"13:00"	"D"
"CAF141"	"12/21/2014"	"5:00"	"D"
"CAF141"	"12/22/2015"	"8:00"	"D"
"CAF231"	"01/13/2011"	"3:00"	"D"
"CAF231"	"01/13/2016"	"14:00"	"D"
"CAF231"	"01/14/2016"	"22:00"	"D"
"CAF397"	"01/09/2013"	"10:00"	"D"
