Location	Depth	BulkDensity
CAF003	30	1.183
CAF003	60	1.191
CAF003	90	1.333
CAF003	120	1.433
CAF003	150	1.507
CAF007	30	1.345
CAF007	60	1.191
CAF007	90	1.200
CAF007	120	1.283
CAF007	150	1.404
CAF009	30	1.207
CAF009	60	1.023
CAF009	90	1.152
CAF009	120	1.093
CAF009	150	1.213
CAF019	30	1.276
CAF019	60	1.373
CAF019	90	1.359
CAF019	120	1.368
CAF019	150	1.259
CAF031	30	1.234
CAF031	60	1.215
CAF031	90	1.405
CAF031	120	1.421
CAF031	150	1.396
CAF033	30	1.187
CAF033	60	1.247
CAF033	90	1.284
CAF033	120	1.326
CAF033	150	1.399
CAF035	30	1.263
CAF035	60	1.199
CAF035	90	1.323
CAF035	120	1.496
CAF035	150	1.453
CAF061	30	1.226
CAF061	60	1.277
CAF061	90	1.350
CAF061	120	1.429
CAF061	150	1.589
CAF067	30	1.147
CAF067	60	1.165
CAF067	90	1.442
CAF067	120	1.483
CAF067	150	1.517
CAF075	30	1.120
CAF075	60	1.019
CAF075	90	1.318
CAF075	120	1.394
CAF075	150	1.390
CAF079	30	1.057
CAF079	60	1.074
CAF079	90	1.263
CAF079	120	1.458
CAF079	150	1.359
CAF095	30	1.289
CAF095	60	1.175
CAF095	90	1.305
CAF095	120	1.420
CAF095	150	1.544
CAF119	30	1.152
CAF119	60	1.187
CAF119	90	1.400
CAF119	120	1.479
CAF119	150	1.443
CAF125	30	1.070
CAF125	60	1.275
CAF125	90	1.333
CAF125	120	1.493
CAF125	150	1.577
CAF129	30	1.093
CAF129	60	1.352
CAF129	90	1.322
CAF129	120	1.482
CAF129	150	1.511
CAF133	30	1.121
CAF133	60	1.066
CAF133	90	1.177
CAF133	120	1.330
CAF133	150	1.386
CAF135	30	1.152
CAF135	60	1.133
CAF135	90	1.414
CAF135	120	1.465
CAF135	150	1.402
CAF139	30	1.385
CAF139	60	1.387
CAF139	90	1.394
CAF139	120	1.391
CAF139	150	1.442
CAF141	30	1.312
CAF141	60	1.430
CAF141	90	1.433
CAF141	120	1.457
CAF141	150	1.453
CAF163	30	1.096
CAF163	60	1.320
CAF163	90	1.380
CAF163	120	1.387
CAF163	150	1.522
CAF173	30	1.319
CAF173	60	1.402
CAF173	90	1.396
CAF173	120	1.470
CAF173	150	1.587
CAF197	30	1.359
CAF197	60	1.286
CAF197	90	1.216
CAF197	120	1.257
CAF197	150	1.225
CAF201	30	1.285
CAF201	60	1.249
CAF201	90	1.319
CAF201	120	1.436
CAF201	150	1.621
CAF205	30	1.306
CAF205	60	1.186
CAF205	90	1.287
CAF205	120	1.243
CAF205	150	1.199
CAF209	30	1.277
CAF209	60	1.256
CAF209	90	1.542
CAF209	120	1.429
CAF209	150	1.377
CAF215	30	1.199
CAF215	60	1.129
CAF215	90	1.160
CAF215	120	1.212
CAF215	150	1.368
CAF217	30	1.288
CAF217	60	1.460
CAF217	90	1.292
CAF217	120	1.401
CAF217	150	1.285
CAF231	30	1.242
CAF231	60	1.394
CAF231	90	1.313
CAF231	120	1.429
CAF231	150	1.562
CAF237	30	1.174
CAF237	60	1.140
CAF237	90	1.356
CAF237	120	1.391
CAF237	150	1.296
CAF245	30	1.242
CAF245	60	1.348
CAF245	90	1.411
CAF245	120	1.478
CAF245	150	1.403
CAF275	30	1.001
CAF275	60	1.039
CAF275	90	1.349
CAF275	120	1.409
CAF275	150	1.496
CAF308	30	1.015
CAF308	60	1.203
CAF308	90	1.236
CAF308	120	1.290
CAF308	150	1.236
CAF310	30	1.090
CAF310	60	1.163
CAF310	90	1.230
CAF310	120	1.169
CAF310	150	1.209
CAF312	30	1.169
CAF312	60	1.067
CAF312	90	1.250
CAF312	120	1.212
CAF312	150	1.320
CAF314	30	1.332
CAF314	60	1.308
CAF314	90	1.270
CAF314	120	1.291
CAF314	150	1.521
CAF316	30	1.284
CAF316	60	1.199
CAF316	90	1.109
CAF316	120	1.516
CAF316	150	1.532
CAF349	30	1.483
CAF349	60	1.310
CAF349	90	1.190
CAF349	120	1.508
CAF349	150	1.581
CAF351	30	1.172
CAF351	60	1.243
CAF351	90	1.148
CAF351	120	1.419
CAF351	150	1.291
CAF357	30	1.194
CAF357	60	1.141
CAF357	90	1.268
CAF357	120	1.385
CAF357	150	1.458
CAF377	30	1.135
CAF377	60	1.182
CAF377	90	1.328
CAF377	120	1.282
CAF377	150	1.399
CAF397	30	1.213
CAF397	60	1.354
CAF397	90	1.378
CAF397	120	1.478
CAF397	150	1.454
CAF401	30	1.189
CAF401	60	1.219
CAF401	90	1.426
CAF401	120	1.471
CAF401	150	1.501
