Location	Depth	Silt	Clay	Sand
CAF003	30	58.923	29.667	11.41
CAF003	60	57.365	28.198	14.43
CAF003	90	56.312	33.806	9.882
CAF003	120	59.873	27.021	13.106
CAF003	150	56.406	31.722	11.872
CAF007	30	64.229	28.11	7.661
CAF007	60	60.112	28.605	11.281
CAF007	90	61.236	27.264	11.491
CAF007	120	61.975	26.467	11.568
CAF007	150	65.175	21.653	13.173
CAF009	30	62.778	28.372	8.846
CAF009	60	59.531	27.51	12.967
CAF009	90	56.665	28.932	14.404
CAF009	120	55.691	29.54	14.769
CAF009	150	61.695	22.464	15.841
CAF019	30	49.343	34.385	16.272
CAF019	60	54.935	34.323	10.742
CAF019	90	52.577	37.395	10.027
CAF019	120	51.128	35.526	13.336
CAF019	150	49.77	34.091	16.129
CAF031	30	57.516	30.338	12.144
CAF031	60	58.231	29.125	12.635
CAF031	90	58.989	28.333	12.678
CAF031	120	64.954	24.555	10.481
CAF031	150	70.409	18.419	11.171
CAF033	30	63.46	24.651	11.889
CAF033	60	70.773	15.157	14.071
CAF033	90	72.994	12.272	14.734
CAF033	120	69.695	15.883	14.422
CAF033	150	65.235	20.488	14.276
CAF035	30	57.91	34.129	7.961
CAF035	60	58.708	29.024	12.267
CAF035	90	61.874	24.346	13.778
CAF035	120	52.534	37.22	10.246
CAF035	150	46.077	44.113	9.809
CAF061	30	56.487	33.197	10.32
CAF061	60	58.385	31.177	10.438
CAF061	90	60.81	29.029	10.16
CAF061	120	55.55	32.941	11.509
CAF061	150	52.469	35.296	12.234
CAF067	30	56.954	29.586	13.464
CAF067	60	61.022	26.696	12.285
CAF067	90	62.094	26.592	11.314
CAF067	120	52.889	35.536	11.575
CAF067	150	53.695	34.357	11.948
CAF075	30	60.795	27.572	11.636
CAF075	60	63.318	21.61	15.082
CAF075	90	65.263	25.089	9.648
CAF075	120	55.857	29.924	14.219
CAF075	150	60.115	25.453	14.432
CAF079	30	61.095	28	10.904
CAF079	60	62.262	26.158	11.581
CAF079	90	69.068	13.569	17.354
CAF079	120	63.35	24.817	11.833
CAF079	150	62.726	24.886	12.387
CAF095	30	61.243	22.596	16.16
CAF095	60	63.094	21.21	15.697
CAF095	90	65.894	21.987	12.119
CAF095	120	64.496	22.558	12.947
CAF095	150	64.418	22.995	12.586
CAF119	30	57.323	28.554	14.122
CAF119	60	56.274	27.529	16.197
CAF119	90	57.93	26.601	15.469
CAF119	120	52.053	32.081	15.867
CAF119	150	50.056	34.245	15.709
CAF125	30	62.391	25.71	11.899
CAF125	60	66.267	22.475	11.262
CAF125	90	65.469	22.678	11.854
CAF125	120	60.27	26.976	12.754
CAF125	150	57.053	29.557	13.38
CAF129	30	56.934	31.858	11.208
CAF129	60	58.861	27.292	13.843
CAF129	90	60.34	29.028	10.624
CAF129	120	57.977	32.17	9.853
CAF129	150	59.951	28.795	11.254
