Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
rad,RAD,Absorbed dose,rad,http://qudt.org/vocab/unit#Rad; http://unitsofmeasure.org/ucum.html#para-33
gray,Gray,Absorbed dose,Gy,http://qudt.org/vocab/unit#Gray; http://unitsofmeasure.org/ucum.html#para-30
grayPerSecond,Gray per Second,Absorbed dose rate,Gy/s,http://qudt.org/vocab/unit#GrayPerSecond
nat,Nat,Amount of information,nat,http://qudt.org/vocab/unit#Nat
byte,Byte,Amount of information,By,http://qudt.org/vocab/unit#Byte; http://unitsofmeasure.org/ucum.html#para-48
octet,Octet,Amount of information,octet,http://www.unidata.ucar.edu/software/udunits/
ban,Ban,Amount of information,ban,http://qudt.org/vocab/unit#Ban
bit,Bit,Amount of information,bit,http://qudt.org/vocab/unit#Bit; http://unitsofmeasure.org/ucum.html#para-48
degreeEast,Degree East,Angle,degE,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degree,Degree,Angle,deg,http://qudt.org/vocab/unit#DegreeAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
cycle,Cycle,Angle,cycle,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
circle,Circle,Angle,circ,http://unitsofmeasure.org/ucum.html#para-47; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
arcSecond,Arc Second,Angle,arcSec,http://qudt.org/vocab/unit#ArcSecond; http://qudt.org/vocab/unit#SecondAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
arcMinute,Arc Minute,Angle,arcMin,http://qudt.org/vocab/unit#ArcMinute; http://qudt.org/vocab/unit#MinuteAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gon,Gon,Angle,gon,http://qudt.org/vocab/unit#Gon; http://unitsofmeasure.org/ucum.html#para-31
degreeWest,Degree West,Angle,degW,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeTrue,Degree True,Angle,degT,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeNorth,Degree North,Angle,degN,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
degreeSouth,Degree South,Angle,degS,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
turn,Turn,Angle,,http://www.unidata.ucar.edu/software/udunits/
rotation,Rotation,Angle,,http://www.unidata.ucar.edu/software/udunits/
revolution,Revolution,Angle,rev,http://qudt.org/vocab/unit#Revolution; http://www.unidata.ucar.edu/software/udunits/
radian,Radian,Angle,rad,http://qudt.org/vocab/unit#Radian; http://unitsofmeasure.org/ucum.html#para-28; http://www.unidata.ucar.edu/software/udunits/
milAngle(Nato),Mil Angle (Nato),Angle,mil,http://qudt.org/vocab/unit#MilAngle
grad,Grad,Angle,grad,http://qudt.org/vocab/unit#Grad
degreeMinuteSecond,Degree Minute Second,Angle,dddmmss,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
radianPerSecondSquared,Radian per Second Squared,Angular acceleration,rad/s^2,http://qudt.org/vocab/unit#RadianPerSecondSquared
revolutionPerSecondSquared,Revolution per Second Squared,Angular acceleration,,http://qudt.org/vocab/unit#RevolutionPerSecondSquared
degreePerSecondSquared,Degree per Second Squared,Angular acceleration,deg/(s^2),http://qudt.org/vocab/unit#DegreePerSecondSquared
kilogramMeterSquared,Kilogram Meter Squared,Angular mass,kg-m^2,http://qudt.org/vocab/unit#KilogramMeterSquared
electronvoltSecond,ElectronVolt Second,Angular momentum,eV s,http://qudt.org/vocab/unit#ElectronVoltSecond
ergSecond,Erg Second,Angular momentum,erg s,http://qudt.org/vocab/unit#ErgSecond
footPoundForceSecond,Foot Pound Force Second,Angular momentum,lbf*s,http://qudt.org/vocab/unit#FootPoundForceSecond
jouleSecond,Joule Second,Angular momentum,J s,http://qudt.org/vocab/unit#JouleSecond
newtonMeterSecond,Newton Meter Second,Angular momentum,Nms,
degreePerMinute,Degree per Minute,Angular velocity or frequency,deg/min,http://qudt.org/vocab/unit#DegreePerMinute
degreePerSecond,Degree per Second,Angular velocity or frequency,deg/s,http://qudt.org/vocab/unit#DegreePerSecond
radianPerHour,Radian per Hour,Angular velocity or frequency,rad/h,http://qudt.org/vocab/unit#RadianPerHour
radianPerMinute,Radian per Minute,Angular velocity or frequency,rad/m,http://qudt.org/vocab/unit#RadianPerMinute
rotationPerSecond,Rotation per Second,Angular velocity or frequency,rps,http://www.unidata.ucar.edu/software/udunits/
radianPerSecond,Radian per Second,Angular velocity or frequency,rad/s,http://qudt.org/vocab/unit#RadianPerSecond
rotationPerMinute,Rotation per Minute,Angular velocity or frequency,rpm,http://www.unidata.ucar.edu/software/udunits/
revolutionPerSecond,Revolution per Second,Angular velocity or frequency,rev/s,http://qudt.org/vocab/unit#RevolutionPerSecond
revolutionPerHour,Revolution per Hour,Angular velocity or frequency,rev/h,http://qudt.org/vocab/unit#RevolutionPerHour
revolutionPerMinute,Revolution per Minute,Angular velocity or frequency,rev/min,http://qudt.org/vocab/unit#RevolutionPerMinute
degreePerHour,Degree per Hour,Angular velocity or frequency,deg/h,http://qudt.org/vocab/unit#DegreePerHour
township,Township,Area,twp,http://unitsofmeasure.org/ucum.html#para-35
squareKilometer,Square Kilometer,Area,km^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
acre,Acre,Area,acr_us,http://qudt.org/vocab/unit#Acre
"acre,British","Acre, British",Area,acr_br,http://unitsofmeasure.org/ucum.html#para-36
are,Are,Area,ar,http://qudt.org/vocab/unit#Are
barn,Barn,Area,b,http://qudt.org/vocab/unit#Barn
circularMil,Circular Mil,Area,cml_i,http://qudt.org/vocab/unit#CircularMil
darcy,Darcy,Area,D,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hectare,Hectare,Area,ha,http://qudt.org/vocab/unit#Hectare
planckArea,Planck Area,Area,,http://qudt.org/vocab/unit#PlanckArea
section,Section,Area,sct,http://unitsofmeasure.org/ucum.html#para-35
squareCentimeter,Square Centimeter,Area,cm^2,http://qudt.org/vocab/unit#SquareCentimeter
squareFoot,Square Foot,Area,sft_i,http://qudt.org/vocab/unit#SquareFoot; http://unitsofmeasure.org/ucum.html#para-34
squareInch,Square Inch,Area,sin_i,http://qudt.org/vocab/unit#SquareInch; http://unitsofmeasure.org/ucum.html#para-34
squareMeter,Square Meter,Area,m^2,http://qudt.org/vocab/unit#SquareMeter
squareMile,Square Mile,Area,smi_us,http://qudt.org/vocab/unit#SquareMile; http://unitsofmeasure.org/ucum.html#para-35
squareRod,Square Rod,Area,srd_us,http://unitsofmeasure.org/ucum.html#para-35
squareYard,Square Yard,Area,syd_i,http://qudt.org/vocab/unit#SquareYard; http://unitsofmeasure.org/ucum.html#para-34
squareMeterSteradian,Square Meter Steradian,Area angle,m^2-sr,http://qudt.org/vocab/unit#SquareMeterSteradian
squareMeterPerKilometer,Square Meter per Kilometer,Area per length,m^2/km,
squareMeterPerMeter,Square Meter per Meter,Area per length,m^2/m,
squareFootDegreeFahrenheit,Square Foot Degree Fahrenheit,Area temperature,ft^2-degF,http://qudt.org/vocab/unit#SquareFootDegreeFahrenheit
squareMeterKelvin,Square Meter Kelvin,Area temperature,m^2-K,http://qudt.org/vocab/unit#SquareMeterKelvin
squareMeterPerKelvin,Square Meter per Kelvin,Area thermal expansion,m^2/K,http://qudt.org/vocab/unit#SquareMeterPerKelvin
squareCentimeterMinute,Square Centimeter Minute,Area time,cm^2-m,http://qudt.org/vocab/unit#SquareCentimeterMinute
hourSquareFoot,Hour Square Foot,Area time,hr-ft^2,http://qudt.org/vocab/unit#HourSquareFoot
secondSquareFoot,Second Square Foot,Area time,s-ft^2,http://qudt.org/vocab/unit#SecondSquareFoot
squareCentimeterSecond,Square Centimeter Second,Area time,cm^2-s,http://qudt.org/vocab/unit#SquareCentimeterSecond
squareFootHourDegreeFahrenheit,Square Foot Hour Degree Fahrenheit,Area time temperature,ft^2-hr-degF,http://qudt.org/vocab/unit#SquareFootHourDegreeFahrenheit
squareFootSecondDegreeFahrenheit,Square Foot Second Degree Fahrenheit,Area time temperature,ft^2-s-degF,http://qudt.org/vocab/unit#SquareFootSecondDegreeFahrenheit
unit,Unit,Catalytic activity,U,http://unitsofmeasure.org/ucum.html#para-45
katal,Katal,Catalytic activity,kat,http://qudt.org/vocab/unit#Katal; http://unitsofmeasure.org/ucum.html#para-45; http://www.unidata.ucar.edu/software/udunits/
